version,1,startTime,2026-01-06 13:23:03.120,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),X(int),Y(int),MouseData(hex)
0,200,52558421,940,917,0
1,200,52558453,941,899,0
2,200,52558453,943,883,0
3,200,52558468,944,871,0
4,200,52558468,944,862,0
5,200,52558484,944,856,0
6,200,52558500,945,852,0
7,200,52558500,945,849,0
8,200,52558515,945,847,0
9,200,52558531,945,846,0
10,200,52558531,945,845,0
11,200,52558546,945,844,0
12,200,52558546,945,844,0
13,200,52558562,945,843,0
14,200,52558593,945,842,0
15,200,52558843,928,814,0
16,200,52558859,900,770,0
17,200,52558875,875,723,0
18,200,52558890,854,681,0
19,200,52558906,832,638,0
20,200,52558906,818,606,0
21,200,52558921,808,587,0
22,200,52558921,800,574,0
23,200,52558937,795,565,0
24,200,52558953,790,558,0
25,200,52558968,786,553,0
26,200,52558968,784,551,0
27,200,52558984,781,548,0
28,200,52559000,779,547,0
29,200,52559000,778,545,0
30,200,52559015,777,545,0
31,200,52559015,777,544,0
32,200,52559031,776,544,0
33,200,52559046,775,544,0
34,200,52559062,775,544,0
35,200,52559062,774,544,0
36,200,52559093,773,544,0
37,201,52559250,773,544,0
38,202,52559265,773,544,0
39,200,52562875,773,547,0
40,200,52562875,772,554,0
41,200,52562890,770,558,0
42,200,52562906,769,564,0
43,200,52562906,768,567,0
44,200,52562921,767,573,0
45,200,52562937,764,582,0
46,200,52562937,762,590,0
47,200,52562953,759,602,0
48,200,52562953,756,614,0
49,200,52562968,755,625,0
50,200,52562984,753,635,0
51,200,52562984,751,644,0
52,200,52563000,749,651,0
53,200,52563015,748,658,0
54,200,52563015,746,663,0
55,200,52563031,744,669,0
56,200,52563046,743,674,0
57,200,52563062,742,680,0
58,200,52563062,742,685,0
59,200,52563078,741,688,0
60,200,52563093,741,690,0
61,200,52563093,741,692,0
62,200,52563109,741,694,0
63,200,52563109,741,694,0
64,200,52563125,741,695,0
65,200,52563156,741,696,0
66,200,52563468,741,704,0
67,200,52563484,741,714,0
68,200,52563484,739,725,0
69,200,52563500,739,735,0
70,200,52563515,739,747,0
71,200,52563531,739,759,0
72,200,52563531,739,769,0
73,200,52563546,739,779,0
74,200,52563562,739,789,0
75,200,52563578,741,799,0
76,200,52563578,741,806,0
77,200,52563593,741,811,0
78,200,52563609,742,817,0
79,200,52563609,743,822,0
80,200,52563625,744,829,0
81,200,52563625,745,834,0
82,200,52563640,746,840,0
83,200,52563656,747,844,0
84,200,52563656,749,848,0
85,200,52563921,742,860,0
86,200,52563937,735,871,0
87,200,52563937,730,882,0
88,200,52563953,723,894,0
89,200,52563953,718,905,0
90,200,52563968,714,917,0
91,200,52563984,710,926,0
92,200,52564000,707,934,0
93,200,52564000,704,942,0
94,200,52564015,702,947,0
95,200,52564015,699,953,0
96,200,52564031,697,956,0
97,200,52564046,696,959,0
98,200,52564046,695,960,0
99,200,52564062,693,962,0
100,200,52564062,692,963,0
101,200,52564078,691,964,0
102,200,52564093,691,965,0
103,200,52564093,690,967,0
104,200,52564109,690,967,0
105,200,52564109,689,968,0
106,200,52564140,688,969,0
107,200,52564140,688,969,0
108,200,52564156,687,970,0
109,200,52564171,686,971,0
110,200,52564203,686,972,0
111,200,52564203,685,972,0
112,200,52564218,684,973,0
113,200,52564234,684,974,0
114,200,52564234,682,975,0
115,200,52564250,681,975,0
116,200,52564265,680,977,0
117,200,52564265,679,978,0
118,200,52564281,678,979,0
119,200,52564281,677,980,0
120,200,52564296,676,982,0
121,200,52564312,675,983,0
122,200,52564312,673,985,0
123,200,52564328,672,987,0
124,200,52564343,671,988,0
125,200,52564359,671,988,0
126,201,52564640,671,988,0
127,202,52564640,671,988,0
